transaction_id,date,counterparty,amount,category,category_confidence,status,raw_text,original_category,classification_source
TXN100037,2026-08-05,Ola cab fare,45503.97,Travel,0.9753,Settled,Ola cab fare | Ref:4e80d4af | Amount: INR 45503.97,Travel,Model
TXN100038,2026-08-13,Petrol pump fuel payment,25524.59,Travel,0.9743,Settled,Petrol pump fuel payment | Ref:9e35c4d9 | Amount: INR 25524.59,Travel,Model
TXN100039,2026-07-12,Bajaj Finserv EMI payment,36146.61,EMI,0.9867,Settled,Bajaj Finserv EMI payment | Ref:a363fc99 | Amount: INR 36146.61,EMI,Model
TXN100040,2026-07-07,Personal loan EMI deduction,17144.92,EMI,0.9916,Settled,Personal loan EMI deduction | Ref:f0aabb98 | Amount: INR 17144.92,EMI,Model
TXN100041,2026-08-07,restro bill payment pos,28645.98,Food,0.764,Settled,restro bill payment pos,Food,Model
TXN100042,2026-07-13,Bajaj Finserv EMI payment,49398.27,EMI,0.9867,Settled,Bajaj Finserv EMI payment | Ref:e486ce16 | Amount: INR 49398.27,EMI,Model
TXN100043,2026-07-24,NACH loan debit KOTAK,5052.04,EMI,0.8984,Settled,NACH loan debit KOTAK,EMI,Model
TXN100044,2026-08-15,Swiggy order payment,40907.91,Food,0.9732,Settled,Swiggy order payment | Ref:f6e210fe | Amount: INR 40907.91,Food,Model
TXN100045,2026-07-05,IKEA furniture shopping,16557.58,Shopping,0.9833,Settled,IKEA furniture shopping | Ref:8f13104f | Amount: INR 16557.58,Shopping,Model
TXN100046,2026-08-06,IndiGo flight ticket,15571.42,Travel,0.9867,Settled,IndiGo flight ticket | Ref:5dd0f830 | Amount: INR 15571.42,Travel,Model
TXN100047,2026-07-04,McDonald's meal payment,4928.88,Food,0.9734,Pending,McDonald's meal payment | Ref:2c85bdc8 | Amount: INR 4928.88,Food,Model
TXN100048,2026-08-09,IRCTC train ticket booking,12484.74,Travel,0.9866,Settled,IRCTC train ticket booking | Ref:bd3e9588 | Amount: INR 12484.74,Travel,Model
TXN100049,2026-07-14,Personal loan EMI deduction,18146.54,EMI,0.9916,Settled,Personal loan EMI deduction | Ref:b73fbc87 | Amount: INR 18146.54,EMI,Model
TXN100050,2026-08-01,IRCTC train ticket booking,3216.36,Travel,0.9866,Settled,IRCTC train ticket booking | Ref:296edc4f | Amount: INR 3216.36,Travel,Model
TXN100051,2026-08-13,MakeMyTrip hotel booking,47388.87,Travel,0.9836,Settled,MakeMyTrip hotel booking | Ref:b200423f | Amount: INR 47388.87,Travel,Model
TXN100052,2026-08-04,Bajaj Finserv EMI payment,48848.28,EMI,0.9867,Settled,Bajaj Finserv EMI payment | Ref:5fd2125b | Amount: INR 48848.28,EMI,Model
TXN100053,2026-07-28,PIZZA HUT TAKEAWAY 34470,38905.99,Food,0.891,Settled,PIZZA HUT TAKEAWAY 34470,Food,Model
TXN100054,2026-07-30,Cafe coffee purchase at,8969.95,Food,0.973,Settled,Cafe coffee purchase at | Ref:7f71e0a0 | Amount: INR 8969.95,Food,Model
TXN100055,2026-08-07,IRCTC train ticket booking,14032.15,Travel,0.9866,Settled,IRCTC train ticket booking | Ref:07b14f37 | Amount: INR 14032.15,Travel,Model
TXN100056,2026-07-30,Bajaj Finserv EMI payment,27397.92,EMI,0.9867,Settled,Bajaj Finserv EMI payment | Ref:9f07cdc3 | Amount: INR 27397.92,EMI,Model
TXN100057,2026-07-24,dinner at restaurant MUMBAI,15128.4,Food,0.9463,Settled,dinner at restaurant MUMBAI,Food,Model
TXN100058,2026-07-12,Ola cab fare,719.17,Travel,0.9753,Settled,Ola cab fare | Ref:0b34fb9d | Amount: INR 719.17,Travel,Model
TXN100059,2026-08-14,MakeMyTrip hotel booking,12674.67,Travel,0.9836,Settled,MakeMyTrip hotel booking | Ref:bdf2adc4 | Amount: INR 12674.67,Travel,Model
TXN100060,2026-07-16,McDonald's meal payment,1465.45,Food,0.9734,Failed,McDonald's meal payment | Ref:8b30163e | Amount: INR 1465.45,Food,Model
TXN100061,2026-07-06,Bajaj Finserv EMI payment,35138.9,EMI,0.9867,Settled,Bajaj Finserv EMI payment | Ref:c0ad9f27 | Amount: INR 35138.9,EMI,Model
TXN100062,2026-08-06,Dominos pizza order,14876.61,Food,0.98,Settled,Dominos pizza order | Ref:7a54db81 | Amount: INR 14876.61,Food,Model
TXN100063,2026-07-20,POS INDIGO AIRLINES AHMEDABAD,26354.79,Travel,0.8249,Settled,POS INDIGO AIRLINES AHMEDABAD,Travel,Model
TXN100064,2026-07-22,Credit card EMI installment,47894.2,EMI,0.9905,Settled,Credit card EMI installment | Ref:404db81a | Amount: INR 47894.2,EMI,Model
TXN100065,2026-07-29,Reliance Digital purchase,35051.42,Shopping,0.9802,Settled,Reliance Digital purchase | Ref:4449b76b | Amount: INR 35051.42,Shopping,Model
TXN100066,2026-07-19,Amazon online shopping,46008.33,Shopping,0.9887,Failed,Amazon online shopping | Ref:40b50bdd | Amount: INR 46008.33,Shopping,Model
TXN100067,2026-08-08,Fixed deposit investment,23659.19,Investment,0.9924,Failed,Fixed deposit investment | Ref:eeacccb5 | Amount: INR 23659.19,Investment,Model
TXN100068,2026-07-05,Myntra clothing order,4312.14,Shopping,0.9795,Pending,Myntra clothing order | Ref:9341bf52 | Amount: INR 4312.14,Shopping,Model
TXN100069,2026-07-08,Myntra clothing order,34447.35,Shopping,0.9795,Settled,Myntra clothing order | Ref:45daca7d | Amount: INR 34447.35,Shopping,Model
